SampleLocation,Comm,SampleDescription1,SampleDescription2,LabNumber,TEC,pH,SMP Buffer,OrganicMatter,ENR,SolubleSulfur,P,P_ppm,Ca,Ca_ppm,Mg,Mg_ppm,K,K_ppm,Na,Na_ppm,Ca_pct,Mg_pct,K_pct,Na_pct,Other_pct,H_pct,B_ppm,Fe_ppm,Mn_ppm,Cu_ppm,Zn_ppm,Al_ppm
Swanquarter Marsh,SWMAR,2,86,0300-1,110.68,5,6,43.05,> 130,1224,206,45,2734,1367,4152,2076,988,494,12550,6275,6.18,15.63,1.14,24.65,7.4,45,3.49,276,2,1.56,1.5,597
Swanquarter Marsh,SWMAR,3,87,0301-1,143.79,4.9,6,51.16,> 130,2268,256,56,3394,1697,5756,2878,1312,656,14320,7160,5.9,16.68,1.17,21.65,7.6,47,4.13,385,2,2.34,1.6,830
Swanquarter Marsh,SWMAR,4,88,0302-1,141.68,5,5.8,25.34,> 130,1119,142,31,3924,1962,4892,2446,984,492,16554,8277,6.92,14.39,0.89,25.4,7.4,45,3.64,56,1,1.87,3.15,1334
Swanquarter Marsh,SWMAR,6,90,0304-1,134.94,5.1,5.9,55,> 130,939,298,65,3434,1717,5254,2627,800,400,17042,8521,6.36,16.22,0.76,27.46,7.2,42,4.16,38,1,1.49,2.7,861
Swanquarter Marsh,SWMAR,1,85,0299-1,174.91,4.8,6.1,50.93,> 130,1544,289,63,4080,2040,6240,3120,794,397,17638,8819,5.83,14.86,0.58,21.92,7.8,49,5.82,153,2,2.12,3.29,735
Swanquarter Transiti,SWTRA,4,95,0309-1,49.89,5.3,6.2,10.98,125,221,215,47,2896,1448,2742,1371,304,152,4362,2181,14.51,22.9,0.78,19.01,6.8,36,1.33,140,2,2.38,3.73,872
Swanquarter Transiti,SWTRA,3,94,0308-1,64.25,4.7,6,6.62,108,277,183,40,2144,1072,2078,1039,216,108,5542,2771,8.34,13.48,0.43,18.75,8,51,1.36,127,1,2.24,3.24,1098
Swanquarter Transiti,SWTRA,7,98,0312-1,72.73,5,6,19.01,130,570,192,42,2894,1447,2990,1495,784,392,6404,3202,9.95,17.13,1.38,19.14,7.4,45,1.59,110,1,1.87,2.16,1111
Swanquarter Transiti,SWTRA,2,93,0307-1,87.85,4.7,5.6,18.41,129,407,110,24,2792,1396,2808,1404,512,256,7674,3837,7.95,13.32,0.75,18.99,8,51,1.67,55,1,0.96,1.93,1424
Swanquarter Transiti,SWTRA,5,96,0310-1,98.94,4.9,5.9,51.55,> 130,510,261,57,3354,1677,4342,2171,474,237,8204,4102,8.47,18.29,0.61,18.03,7.6,47,2.65,108,2,2.96,3.65,763
Swanquarter Transiti,SWTRA,1,92,0306-1,98.47,4.9,5.5,50.48,> 130,562,247,54,2864,1432,3540,1770,592,296,10136,5068,7.27,14.98,0.77,22.38,7.6,47,2.57,130,1,1.2,1.67,1074
Swanquarter Transiti,SWTRA,6,97,0311-1,112.69,5,5.6,38.9,> 130,789,87,19,4518,2259,3908,1954,804,402,11514,5757,10.02,14.45,0.91,22.21,7.4,45,2.42,46,1,1.43,2.08,1702
